Time - Voltage,Pen tracing
0.29,-0.178877
0.291,-0.0964314
0.292,-0.123806
0.293,-0.0668026
0.294,-0.038462
0.295,-0.0635821
0.296,-0.0909565
0.297,0.00437101
0.298,-0.0207491
0.299,0.0707138
0.3,0.115801
0.301,0.13448
0.302,0.204688
0.303,0.162499
0.304,0.189873
0.305,0.221434
0.306,0.310643
0.307,0.315796
0.308,0.369579
0.309,0.385359
0.31,0.441718
0.311,0.453634
0.312,0.44977
0.313,0.413056
0.314,0.437854
0.315,0.461364
0.316,0.489704
0.317,0.533181
0.318,0.494535
0.319,0.592761
0.32,0.557013
0.321,0.565387
0.322,0.507739
0.323,0.542199
0.324,0.515468
0.325,0.532215
0.326,0.488738
0.327,0.46555
0.328,0.504841
0.329,0.449448
0.33,0.431091
0.331,0.416276
0.332,0.416598
0.333,0.414666
0.334,0.40114
0.335,0.307422
0.336,0.381495
0.337,0.321915
0.338,0.350578
0.339,0.254928
0.34,0.273285
0.341,0.189229
0.342,0.173449
0.343,0.158312
0.344,0.115801
0.345,0.142209
0.346,0.109682
0.347,0.0568656
0.348,0.0523568
0.349,0.000506382
0.35,-0.0413604
0.351,-0.0590733
0.352,-0.0903124
0.353,-0.0471574
0.354,-0.157943
0.355,-0.137654
0.356,-0.217845
0.357,-0.144417
0.358,-0.218811
0.359,-0.203031
0.36,-0.206573
0.361,-0.227829
0.362,-0.172758
0.363,-0.245864
0.364,-0.200454
0.365,-0.213981
0.366,-0.200132
0.367,-0.231049
0.368,-0.187572
0.369,-0.214947
0.37,-0.159232
0.371,-0.137654
0.372,-0.130247
0.373,-0.128959
0.374,-0.062938
0.375,-0.11189
0.376,-0.0729216
0.377,-0.0790406
0.378,-0.0758201
0.379,0.00598127
0.38,-0.0436148
0.381,-0.0220373
0.382,0.0240162
0.383,0.107106
0.384,0.110648
0.385,0.159922
0.386,0.148651
0.387,0.199535
0.388,0.207908
0.389,0.294218
0.39,0.276827
0.391,0.36829
0.392,0.381495
0.393,0.436243
0.394,0.425294
0.395,0.448804
0.396,0.523198
0.397,0.473924
0.398,0.504841
0.399,0.518689
0.4,0.574404
0.401,0.567963
0.402,0.57376
0.403,0.567641
0.404,0.591151
0.405,0.594693
0.406,0.599846
0.407,0.481975
0.408,0.545419
0.409,0.541555
0.41,0.538978
0.411,0.534147
0.412,0.442362
0.413,0.510316
0.414,0.415632
0.415,0.435921
0.416,0.367002
0.417,0.403072
0.418,0.359273
