Time - Voltage,Read lab report
0.31,1.38469
0.311,1.35409
0.312,1.42978
0.313,1.43718
0.314,1.48453
0.315,1.47519
0.316,1.52671
0.317,1.50642
0.318,1.48936
0.319,1.59982
0.32,1.53219
0.321,1.55731
0.322,1.4549
0.323,1.56697
0.324,1.54668
0.325,1.62075
0.326,1.57856
0.327,1.57695
0.328,1.59692
0.329,1.57019
0.33,1.55119
0.331,1.55473
0.332,1.59274
0.333,1.57534
0.334,1.54153
0.335,1.53444
0.336,1.51415
0.337,1.47744
0.338,1.49161
0.339,1.37503
0.34,1.47551
0.341,1.41593
0.342,1.44685
0.343,1.45812
0.344,1.45554
0.345,1.45651
0.346,1.36247
0.347,1.42913
0.348,1.3119
0.349,1.31802
0.35,1.26746
0.351,1.25297
0.352,1.22914
0.353,1.2446
0.354,1.18244
0.355,1.20305
0.356,1.11835
0.357,1.15088
0.358,1.07745
0.359,1.10901
0.36,1.10386
0.361,1.09033
0.362,1.09452
0.363,1.07681
0.364,1.08228
0.365,0.999514
0.366,1.02399
0.367,1.01755
0.368,1.02399
0.369,1.0285
0.37,1.09001
0.371,1.0971
0.372,1.0723
0.373,1.04879
0.374,1.07745
0.375,1.06231
0.376,1.01336
0.377,1.12705
0.378,1.06843
0.379,1.12254
0.38,1.11191
0.381,1.13639
0.382,1.1074
0.383,1.17632
0.384,1.13832
0.385,1.16376
0.386,1.2198
0.387,1.20434
0.388,1.29162
0.389,1.28356
0.39,1.28614
0.391,1.31029
0.392,1.33735
0.393,1.32447
0.394,1.35796
0.395,1.3863
0.396,1.48453
0.397,1.46874
0.398,1.51093
0.399,1.47873
0.4,1.54443
0.401,1.46778
0.402,1.49064
0.403,1.53251
0.404,1.49548
0.405,1.58018
0.406,1.53187
0.407,1.61206
0.408,1.55441
0.409,1.62365
0.41,1.5937
0.411,1.58629
0.412,1.57599
0.413,1.57341
0.414,1.58919
0.415,1.51834
0.416,1.53605
0.417,1.5396
0.418,1.51576
0.419,1.44362
0.42,1.49161
0.421,1.45683
0.422,1.48936
0.423,1.46263
0.424,1.51899
0.425,1.43815
0.426,1.48163
0.427,1.43944
0.428,1.43944
0.429,1.39274
0.43,1.31448
0.431,1.35603
0.432,1.30514
0.433,1.24943
0.434,1.25877
0.435,1.24717
0.436,1.21046
0.437,1.21561
0.438,1.1599
0.439,1.19854
0.44,1.13381
0.441,1.14927
0.442,1.06682
0.443,1.13445
0.444,1.05619
0.445,1.10032
0.446,1.07262
0.447,1.05491
0.448,1.09742
0.449,1.05652
0.45,1.05201
0.451,1.01594
0.452,1.04686
0.453,1.0227
0.454,1.07552
0.455,1.03172
0.456,1.0475
0.457,0.999836
0.458,1.03043
0.459,1.01594
0.46,1.05169
0.461,1.06747
0.462,1.1161
0.463,1.11771
0.464,1.07552
0.465,1.14605
0.466,1.1045
0.467,1.12318
0.468,1.0636
0.469,1.16988
0.47,1.12479
0.471,1.25136
0.472,1.27036
0.473,1.26102
0.474,1.26617
0.475,1.31641
0.476,1.3016
0.477,1.36279
0.478,1.33445
0.479,1.40562
0.48,1.4623
0.481,1.46778
0.482,1.4987
0.483,1.47197
0.484,1.53799
0.485,1.51673
0.486,1.51737
0.487,1.50578
0.488,1.53799
0.489,1.55634
0.49,1.58307
0.491,1.62397
0.492,1.56955
0.493,1.528
0.494,1.53026
0.495,1.50256
0.496,1.53251
0.497,1.58307
0.498,1.56278
0.499,1.56955
0.5,1.52285
0.501,1.50063
0.502,1.44717
0.503,1.45329
0.504,1.46359
0.505,1.47229
0.506,1.50739
0.507,1.43139
0.508,1.48968
0.509,1.4185
0.51,1.42913
0.511,1.37889
0.512,1.38018
0.513,1.32736
0.514,1.37954
0.515,1.33509
0.516,1.35055
0.517,1.32092
0.518,1.3045
0.519,1.25619
0.52,1.233
0.521,1.18952
0.522,1.1731
0.523,1.18759
0.524,1.11867
0.525,1.18244
0.526,1.0913
0.527,1.12415
0.528,1.01755
0.529,1.06908
0.53,0.993395
0.531,1.04138
0.532,1.01497
0.533,1.02431
0.534,1.03558
0.535,1.02174
0.536,0.999514
0.537,0.992429
0.538,1.02785
0.539,1.04492
0.54,1.02882
0.541,1.01723
0.542,1.07423
0.543,1.02077
0.544,1.10676
0.545,1.08679
0.546,1.11191
0.547,1.08808
0.548,1.11481
0.549,1.10515
0.55,1.1045
0.551,1.176
0.552,1.09677
0.553,1.20047
0.554,1.20917
0.555,1.24621
0.556,1.23719
0.557,1.25651
0.558,1.25909
0.559,1.3367
0.56,1.33509
0.561,1.39628
0.562,1.33606
0.563,1.45586
0.564,1.43074
0.565,1.50159
0.566,1.48581
0.567,1.50739
0.568,1.56182
0.569,1.55022
0.57,1.51254
0.571,1.51899
0.572,1.57116
0.573,1.55892
0.574,1.60401
0.575,1.566
0.576,1.55377
0.577,1.58855
0.578,1.60046
0.579,1.50353
0.58,1.53058
0.581,1.54733
0.582,1.51319
0.583,1.47808
0.584,1.4813
0.585,1.46102
0.586,1.45039
0.587,1.51158
0.588,1.41239
0.589,1.4681
0.59,1.43106
0.591,1.45329
0.592,1.40144
0.593,1.39725
0.594,1.44105
0.595,1.38082
0.596,1.38147
0.597,1.36215
0.598,1.33187
0.599,1.27841
0.6,1.30128
0.601,1.22398
0.602,1.29162
0.603,1.22978
0.604,1.22398
0.605,1.17632
0.606,1.21464
0.607,1.12801
0.608,1.10386
0.609,1.13188
0.61,1.07069
0.611,1.14798
0.612,1.01884
0.613,1.10064
0.614,0.999836
0.615,1.08164
0.616,1.04331
0.617,1.04879
0.618,1.06747
0.619,1.04814
0.62,1.05748
0.621,1.04718
0.622,0.994361
0.623,1.07487
0.624,1.0227
0.625,1.0256
0.626,1.11739
0.627,1.08518
0.628,1.17825
0.629,1.06038
0.63,1.13703
0.631,1.07938
0.632,1.1235
0.633,1.12511
0.634,1.11352
0.635,1.17407
0.636,1.16473
0.637,1.19725
0.638,1.22109
0.639,1.23397
0.64,1.26521
0.641,1.27133
0.642,1.30868
0.643,1.32285
0.644,1.31158
0.645,1.40047
0.646,1.35248
0.647,1.42237
0.648,1.40272
0.649,1.48839
0.65,1.4462
0.651,1.47583
0.652,1.50353
0.653,1.54185
0.654,1.51641
0.655,1.49451
0.656,1.52704
0.657,1.53895
0.658,1.59145
0.659,1.54539
0.66,1.63589
0.661,1.60336
0.662,1.62494
0.663,1.58243
0.664,1.55989
0.665,1.55924
0.666,1.56278
0.667,1.53799
0.668,1.50127
0.669,1.48098
0.67,1.48678
0.671,1.4739
0.672,1.38211
0.673,1.41818
0.674,1.35442
0.675,1.45071
0.676,1.37535
0.677,1.43171
0.678,1.42398
0.679,1.40047
